event_type,city,guest_count,total_budget,venue,catering,decoration,photography,entertainment,accommodation,transportation
anniversary,Mumbai,143,729720,254051.1958749128,165332.0141220361,119644.28992417957,88356.69741538569,102335.80266348597,,
conference,Delhi,730,2717181,1153276.8488162123,594756.1349931716,,,406615.51350465673,430857.9083238061,131674.59436215332
party,Ahmedabad,133,148605,40585.47847787318,42533.68200893915,20945.72793194488,11951.016636647599,32589.094944595217,,
wedding,Pune,896,2620539,839333.4373431244,548109.230688205,283909.1518978115,438212.55409969675,380964.22131001763,,130010.4046611443
anniversary,Chennai,72,470965,155453.69531015056,130893.53854907739,100764.3687248436,52765.88512921837,31087.51228671008,,
party,Kolkata,140,154555,42998.85124235885,43845.666229022536,23284.95188197699,12131.641743428885,32293.888903212723,,
anniversary,Chennai,94,542882,153569.0646923001,121287.01141341285,131561.9410228187,91633.89420976872,44830.08866169953,,
conference,Ahmedabad,330,3357261,1348997.8384923053,881158.9375610469,,,450846.281584345,504424.8129903012,171833.12937200224
corporate,Mumbai,103,716409,260748.8342898094,170833.06879358584,,,119026.86625216683,80168.67225657942,85631.55840785852
birthday,Kolkata,89,317254,83635.53440179596,101652.16947953861,42116.799810279386,35530.40130896299,54319.09499942307,,
party,Delhi,66,73705,22122.567328813835,20783.752595095248,8548.757721185353,4153.6271848936485,18096.295170011912,,
anniversary,Bangalore,100,389910,118245.78100604062,104812.70948250599,62072.800483206396,62672.96745810339,42105.74157014355,,
anniversary,Ahmedabad,63,209079,66922.429044354,56186.246025061184,32883.585055709715,28547.32046498219,24539.419409892907,,
birthday,Pune,128,493031,125550.00526633058,159203.62608367682,83449.16467561769,46650.30212556246,78177.90184881251,,
conference,Hyderabad,212,790998,324920.3726835744,172502.66631467847,,,100813.35490797971,132001.37311081897,60760.23298294863
birthday,Bangalore,137,83787,21913.408860003976,24224.379774842782,14807.473433541933,5127.538108435315,17714.199823175997,,
party,Kolkata,153,134045,32847.70794907527,42328.453904586895,16321.332417189253,6889.683256211211,35657.82247293735,,
corporate,Delhi,162,443306,143438.76419090203,123464.63662665829,,,67909.83540727058,51305.55186601544,57187.211909153644
birthday,Mumbai,65,337266,79174.85993553897,102347.8076891843,52684.04752170392,33269.558345148835,69789.72650842402,,
conference,Hyderabad,701,3366757,1208963.8842967616,921068.7332878461,,,505269.15114670544,485142.11925399065,246313.11201469682
party,Bangalore,89,194565,41782.51627451356,56828.15925224755,28857.95675446654,9801.892668288587,57294.47505048375,,
anniversary,Mumbai,115,979005,286519.60999780125,233118.0664814833,249642.50463998373,129637.09057179588,80087.72830893575,,
party,Kolkata,99,190905,43540.672584909844,62981.98442509629,22402.146483080833,19108.91017082919,42871.28633608387,,
wedding,Chennai,618,3662801,985381.5356989228,852174.831837331,589882.4609841551,660031.9935074246,239252.28005899608,,336077.8979131714
conference,Mumbai,987,4041483,1463608.0434062378,1062947.820715143,,,771202.3056583512,489093.173322551,254631.6568977167
corporate,Chennai,452,1799792,599807.0757428535,624885.1092674827,,,356645.99513849546,94635.50695273446,123818.31289843401
conference,Hyderabad,589,591006,205960.52496131847,154018.39221134092,,,88672.30748340108,113660.19563351094,28694.579710428603
anniversary,Mumbai,70,380618,119021.49056254586,92161.06485718928,76398.37392161415,44335.100477269305,48701.97018138145,,
corporate,Chennai,51,1637188,612139.8544552262,453750.5317667369,,,183358.97911067802,160404.8707520197,227533.76391533925
party,Hyderabad,197,124071,25588.96529192119,34603.987082010804,21736.61615338222,6058.177467535529,36083.25400515025,,
conference,Hyderabad,167,1088158,431349.64403570973,255297.07154230925,,,122094.30313600694,190286.2628198904,89130.71846608365
anniversary,Pune,134,214586,65565.22044902186,58935.1127791376,44092.78579694117,33263.017954163464,12729.863020735884,,
birthday,Ahmedabad,116,403323,97298.44791641424,134236.81871360692,59081.51230731096,36521.84737469523,76184.37368797258,,
birthday,Delhi,70,187924,45388.77946296813,55541.344558435485,28045.809609714754,25995.321047374346,32952.74532150733,,
conference,Chennai,658,4963158,1812837.9407045927,1420979.8298160138,,,745664.9778487106,710060.2180566178,273615.03357406624
corporate,Kolkata,436,1024143,343252.0809072433,346730.999777563,,,119298.13292505092,112077.95264518097,102783.83374496193
conference,Ahmedabad,718,779215,271686.9424360751,199399.14704103026,,,140202.16776456524,132301.8541743481,35624.8885839813
birthday,Pune,35,422598,124492.1258012702,124364.77632640753,71868.17934199724,34285.191221155175,67587.72730916989,,
anniversary,Pune,124,298137,103456.62118730042,69814.73120779698,71684.2974772157,35829.0365168924,17352.313610794492,,
anniversary,Mumbai,34,255289,87485.97570152025,58858.00469415035,45248.19040732774,48313.907327537716,15382.921869463948,,
anniversary,Hyderabad,40,222232,72397.82043067548,56441.714338343736,38612.94261662946,26698.698751278265,28080.82386307307,,
anniversary,Hyderabad,119,290237,87685.92145659069,67511.81566882823,50712.8479549554,54927.193160796334,29399.22175882929,,
corporate,Bangalore,480,1975922,627065.2457655489,611840.2595501194,,,282068.98299706867,243273.8220744553,211673.6896128079
anniversary,Delhi,120,533934,168216.96976189752,114121.75834885343,116800.69984165502,71121.52935618066,63673.042691413335,,
anniversary,Kolkata,99,429638,139405.92552336317,92522.74641871596,97086.6775061191,53144.40713068406,47478.24342111772,,
anniversary,Mumbai,76,974392,303440.86683674844,239334.17897160942,165839.8517632675,141043.42509652022,124733.67733185446,,
party,Hyderabad,174,263451,66935.23863363125,79576.2302900577,30497.334073164286,21952.962339370635,64489.23466377609,,
birthday,Delhi,110,117990,31307.297104536137,37723.234139654436,18099.954209690255,8238.299455577486,22621.215090541682,,
birthday,Pune,103,62109,13833.508718228179,20026.669889854224,13478.713659714627,4301.2336151580275,10468.874117044943,,
wedding,Delhi,998,1015693,306977.2305608382,264613.58179527364,185170.60290862527,96038.25809563925,115723.56257116323,,47169.764068460565
wedding,Hyderabad,497,1889330,620021.5539865474,483585.23308297043,288136.61449698044,243666.82048273954,124559.66825430212,,129360.10969646038
anniversary,Bangalore,104,408877,114480.32170405271,99009.1634286865,99182.36443107546,71101.38372584076,25103.766710344644,,
anniversary,Ahmedabad,134,376993,103422.44534867378,85517.88120161092,90948.51308018992,59420.09632661016,37684.06404291521,,
party,Bangalore,187,101631,24160.612653557513,27528.264178169084,15648.508355015325,6552.66399873709,27740.950814520995,,
anniversary,Chennai,73,536162,138582.68131247262,110967.41566333309,127702.14226347976,88462.01732341129,70447.7434373032,,
wedding,Ahmedabad,523,3677902,984846.2526148321,851170.8099382329,560056.1596903561,620174.6029218908,486846.7686731306,,174807.40616155765
conference,Delhi,231,4510162,1828804.5841406388,933441.749964779,,,540433.8489874612,782395.5027943337,425086.3141127867
anniversary,Mumbai,63,462455,130635.85785519953,131116.72606184005,77732.07718767351,61825.54396675494,61144.79492853191,,
corporate,Bangalore,267,2588229,1007359.0087534898,706102.7630371714,,,378887.34112307115,250841.0775075815,245038.80957868614
birthday,Ahmedabad,54,123869,29139.966028386865,35412.3765971311,18299.86884803085,16122.57021986404,24894.218306587136,,
wedding,Pune,991,1249971,374242.31729312683,330963.6855756361,163746.1418932123,193314.09630169606,120513.61395061493,,67191.14498571354
wedding,Bangalore,648,1685111,443128.89207146934,448482.9798780972,299157.057803366,243735.2446442792,171037.96629033424,,79568.85931245387
birthday,Pune,158,131554,30700.32716968754,39965.09522205426,20478.91769783571,13121.645711459903,27288.014198962603,,
conference,Chennai,367,2049420,787425.1439945725,433214.6053549329,,,324134.48913273454,368574.69517381646,136071.06634394365
wedding,Delhi,442,1147341,355605.90084345767,312725.866948031,206848.8817121446,115002.49657215524,83629.80604317784,,73528.04788103365
wedding,Kolkata,693,2884291,744507.5279664805,745666.8810940913,545774.7134737353,445042.42017358553,259698.8139054222,,143600.6433866856
wedding,Kolkata,896,2930721,913871.8491337801,679055.145376764,290414.06172959914,458179.60153318744,326629.1275526769,,262571.2146739921
wedding,Kolkata,870,3299131,1080113.9049042072,710441.6173193294,357286.1203462017,637370.7953751368,346405.7003900863,,167512.86166503862
wedding,Bangalore,367,1184029,364326.9007264423,324044.24473296595,136048.90273693376,205584.2496270343,81206.9960316586,,72817.7061449652
wedding,Kolkata,604,1861303,512147.8955144315,476242.6751527702,280052.8402773691,369409.6353910115,115223.92473932929,,108226.02892508857
party,Mumbai,137,112493,27625.993128410122,32799.40769153425,18921.28496200413,4936.068326454308,28210.24589159718,,
birthday,Ahmedabad,76,490991,109107.6105670321,155688.2426435258,81352.61505335863,35821.44171719219,109021.0900188914,,
anniversary,Chennai,94,978135,299043.82637633494,226389.89045452807,160293.5268130451,172942.45121971404,119465.30513637811,,
birthday,Kolkata,145,293166,73057.62465011775,73205.96582360798,43088.57442539661,37759.4541832428,66054.38091763481,,
anniversary,Pune,60,719328,245353.0163354723,164725.83234129232,152800.66455665382,79073.88604974697,77374.60071683461,,
birthday,Chennai,173,270931,67854.78614028622,84226.48345764799,38603.92246756159,17416.38745412448,62829.42048037972,,
birthday,Chennai,49,165598,36421.40467819318,57032.934417170036,23507.58396423098,16654.406808247808,31981.670132158015,,
party,Hyderabad,142,247393,55261.82303691903,82219.88591237857,27282.562590502694,25689.559113772215,56939.169346427494,,
party,Hyderabad,194,77716,19722.674150252864,24135.254606308532,9924.759986238985,6674.432693693773,17258.878563505845,,
birthday,Mumbai,179,190641,52666.34302376648,52047.28238160936,32610.339056909634,14289.96898134227,39027.06655637226,,
birthday,Kolkata,148,169619,44759.534346426204,45778.22072068168,28207.868580467035,17152.940207494106,33720.43614493099,,
birthday,Chennai,118,367712,101887.35945430251,110486.3918911674,57328.74025826068,24807.99659758305,73201.51179868638,,
conference,Ahmedabad,616,2205243,825537.3849209462,528068.809928111,,,254946.94236285368,407838.1241494279,188851.73863866116
birthday,Pune,66,313852,88220.4897814498,80864.08783755517,34576.06601483691,39782.97054052642,70408.38582563172,,
anniversary,Bangalore,41,690381,222205.0030799298,188870.76708050517,128912.84052618456,70042.35139635162,80350.03791702875,,
party,Kolkata,131,128518,30725.379976717522,37306.26935109919,19559.37931408432,11190.920969488121,29736.050388610864,,
birthday,Mumbai,198,86304,23819.30331605011,24325.624823001624,13184.292944097022,8981.507947877633,15993.27096897361,,
conference,Delhi,428,625438,247323.78051271962,139186.68423868594,,,113966.36814115573,90219.52417988676,34741.64292755184
party,Delhi,98,118026,29387.117127259047,36599.88497406363,11929.770732516909,5852.998886840312,34256.22827932009,,
conference,Pune,934,717770,307397.63227622525,156497.3713958133,,,95272.04232244518,99621.3964401006,58981.557565415635
birthday,Ahmedabad,76,108653,28716.922184453324,35883.85250737318,20505.581930678058,6063.444559286487,17483.198818208944,,
party,Kolkata,94,193938,47874.536147390594,64047.98202901924,20559.46115766585,19157.543512412292,42298.47715351201,,
anniversary,Ahmedabad,30,534376,185988.17657262363,145281.19450902333,88305.03028019474,82692.07413470518,32109.524503453053,,
anniversary,Pune,131,462462,126458.03506613076,114876.06424567667,96082.21468566036,71069.03170488676,53976.65429764547,,
conference,Chennai,165,3667759,1301612.5658520728,909971.8975168471,,,653020.4221379411,621205.1689566277,181948.94553651157
corporate,Mumbai,233,2474316,811998.1299762771,673291.4638953608,,,315654.49525128864,352178.5132311965,321193.3976458765
party,Kolkata,147,239466,54805.90895562908,70267.77365904185,38728.38556756818,23111.80237754048,52552.12944022039,,
conference,Delhi,886,2184532,891616.8996800218,456344.0841471014,,,405987.0945686266,323103.6731012815,107480.24850296868
corporate,Hyderabad,197,2290547,783577.5080938011,583420.9379793573,,,364690.2873940726,277452.8267877592,281405.4397450096
party,Pune,33,171534,37947.93303774438,58002.71160503499,26504.79948801754,8854.4399494838,40224.11591971927,,
corporate,Ahmedabad,176,2997921,1002717.7747979705,1066509.5618721524,,,432555.3621494265,331947.26341798296,164191.0377624682
corporate,Mumbai,392,1140240,412132.22931937024,341248.16841436917,,,154163.80027646152,67021.4791512272,165674.3228385721
anniversary,Delhi,94,334104,83361.55820165844,81302.96203859424,75013.0737237884,49822.03512402336,44604.37091193559,,
birthday,Chennai,196,141218,34800.08010183308,50302.26063775232,16336.791958451124,7938.286233693155,31840.581068270316,,
conference,Bangalore,828,2576475,1110360.9828781665,529410.6630224626,,,308226.26705664437,452465.30865263194,176011.7783900949
wedding,Ahmedabad,884,3482410,1005659.062327252,932160.4520388556,467161.670098748,401796.5093743575,359168.8178996648,,316463.48826112214
wedding,Chennai,403,2750229,774643.2752750369,769461.3142180421,298293.0459168111,396291.4644225531,304588.37030521315,,206951.52986234336
wedding,Hyderabad,309,2544940,728715.2448688186,576798.3151545661,327379.96830776276,410586.32761554525,327046.07577661175,,174414.0682766958
party,Bangalore,138,208819,56852.56735194417,52350.55135264214,39858.54530703502,10321.73054308215,49435.60544529652,,
birthday,Hyderabad,191,498837,119655.34882381787,160524.5831200461,94430.8867518198,39337.21101961287,84888.97028470335,,
birthday,Chennai,137,338816,95639.96906024287,104639.7846852743,58031.49837226948,25504.614938064777,55000.132944148565,,
party,Ahmedabad,110,86609,19436.65952459038,26658.031947450694,12848.384349959168,4857.752021225509,22808.17215677424,,
party,Hyderabad,58,205159,47583.138153769454,66882.22337613805,32394.335569812334,9655.296381557486,48644.006518722665,,
anniversary,Ahmedabad,133,438384,121140.32552928475,131526.20269131142,95537.71003590856,49550.719168627285,40629.04257486795,,
wedding,Mumbai,233,923332,279037.5474941048,221679.9853576206,165304.8697613966,127546.46315688394,68750.50827067427,,61012.62595931965
anniversary,Ahmedabad,129,811028,225167.20238459963,212674.7275976596,160698.12676085095,114265.66072334745,98222.28253354241,,
wedding,Ahmedabad,144,4642535,1539113.4758035387,1223064.9269358462,652308.5392588647,565984.238365215,396516.7760294441,,265547.04360709083
anniversary,Kolkata,119,149067,43785.73734258086,42478.79083437625,24706.421717763023,21745.59512448671,16350.454980793149,,
birthday,Kolkata,47,111215,28800.343259636553,28054.16166912413,16798.747203128354,14479.10867202541,23082.639196085544,,
wedding,Mumbai,400,3480346,920366.905490044,988465.5818978811,632008.9234932322,506312.74054866587,220087.13663406757,,213104.71193610932
wedding,Bangalore,663,1056718,298577.0102356272,286753.32890214224,111611.3676807317,161931.30351514736,125225.2271803863,,72619.76248596534
corporate,Chennai,357,1239955,432850.51666958333,340969.1050985685,,,189694.69151686586,168984.62015091328,107456.06656406891
conference,Mumbai,489,789220,295311.05606451613,219600.790966718,,,114195.76091254615,120995.27578245327,39117.11627376641
party,Delhi,35,218925,53381.28755731673,59136.10550889791,40243.1883851837,21417.472399016715,44746.94614958496,,
conference,Mumbai,962,1656618,571561.2238158591,452215.37130110594,,,182822.15433959579,298067.45785927813,151951.79268416113
birthday,Mumbai,95,388365,92512.23203643298,120249.17923085477,43935.08949443693,45952.00730249415,85716.49193578115,,
corporate,Pune,420,1445803,507441.07894144946,388187.974170989,,,230912.25471042638,197544.29192651008,121717.40025062527
corporate,Kolkata,190,1126215,428599.9444115512,363976.39145210217,,,145675.55109560632,106558.29577843421,81404.81726230611
wedding,Delhi,853,3215223,1098604.0316976504,839122.8359928709,338832.5626460112,339861.66358174325,287788.28337948106,,311013.622702243
corporate,Kolkata,265,2668010,1009663.9674682011,710008.1031114082,,,401599.1676979526,199866.10679544337,346872.6549269951
birthday,Bangalore,127,283820,76427.38538256375,75166.29830428255,40126.06434923757,40748.82014242938,51351.43182148674,,
birthday,Bangalore,112,157096,44310.059022042136,55985.86767733438,18438.223852985575,9958.234266713069,28403.61518092479,,
birthday,Mumbai,36,331293,91274.03120789188,90077.33258676606,44484.57375142098,37872.11541966673,67584.94703425432,,
corporate,Bangalore,203,1001849,422741.27358489414,280710.23187132616,,,162478.7435881761,58145.4918981632,77773.25905744049
corporate,Bangalore,327,1991376,725205.6646986756,521848.7683615204,,,365805.0283788814,175660.2678165111,202856.27074441165
birthday,Chennai,95,465842,119717.65148129142,120746.97751240853,82194.6039569333,62769.27187855112,80413.49517081566,,
conference,Chennai,973,4344886,1927514.509180331,1117497.7425284232,,,528975.936113857,551307.478344901,219590.33383248802
party,Hyderabad,97,291133,66446.37151432536,97835.13197886829,31701.36645839828,23934.0024379796,71216.12761042846,,
conference,Hyderabad,635,1611009,611103.5392350017,448070.5728389587,,,240415.35604225303,232109.04988720609,79310.48199658077
anniversary,Kolkata,98,537100,161416.431178264,142152.25910270962,113423.80852466376,88775.01321437402,31332.487979988546,,
party,Chennai,167,242312,57742.73648577314,70941.94023870696,37719.548942469024,23162.964388411583,52744.80994463929,,
party,Kolkata,105,125715,26687.923802028105,37951.4497845835,22178.114552602445,5999.191204438741,32898.32065634723,,
corporate,Pune,406,628733,222650.77360531362,198911.61738258103,,,70862.94033770525,84076.1934355618,52231.4752388384
party,Hyderabad,45,291190,77123.010069626,81013.72918649894,46510.84687293044,14000.736825105267,72541.67704583934,,
corporate,Mumbai,492,902495,305229.24207781686,281753.7768087287,,,118472.56099886112,91677.23014860734,105362.1899659861
wedding,Hyderabad,968,4945818,1255153.9999218981,1212393.9024913707,660383.3595958973,727715.0428446381,691077.9406062162,,399093.75453997945
birthday,Pune,170,462672,110439.29186677736,174118.54257080352,53572.00314873486,28681.09814166631,95861.06427201796,,
wedding,Chennai,361,2659173,852138.0929735892,580807.26429286,475107.407862854,301229.5266835314,315277.9540393858,,134612.75414777957
wedding,Bangalore,882,837369,249308.39268746364,197945.82135251042,84250.19282200382,158089.85841743657,106315.55013462596,,41459.18458595962
party,Mumbai,43,76400,21281.992210824614,19442.445613045533,11235.672190257757,5285.869808891589,19154.02017698049,,
wedding,Bangalore,292,4311666,1149248.069323989,1015630.3626651121,802562.5855736342,457636.5103195771,496881.98547245224,,389706.48664523545
birthday,Delhi,108,313625,69029.62687227355,89909.1532662702,59882.54617630659,37524.80205812412,57278.871627025546,,
conference,Ahmedabad,305,2509606,946620.9384464832,590192.2185313377,,,420617.83448222996,437429.5744263757,114745.4341135737
anniversary,Bangalore,41,231184,68539.39639955493,56716.60908289907,45558.60463857297,39862.64212184721,20506.74775712581,,
wedding,Hyderabad,168,1490029,392259.99736669724,425158.6691232935,218823.92669001737,196371.57263186268,181050.72715655787,,76364.10703157142
corporate,Pune,338,2698214,976483.4382855144,850390.6451383852,,,437675.10635001835,246239.21222201645,187425.59800406537
party,Chennai,177,284231,64960.86929013327,79176.36495469738,56477.0806423463,14259.233514127432,69357.45159869567,,
conference,Mumbai,424,4407129,1915241.495833146,1092752.246692469,,,508775.45434338646,676555.419764745,213804.383366253
wedding,Hyderabad,486,3095834,848586.522785701,778859.4123640761,403840.3561364588,397903.2058110614,362841.7011343443,,303802.8017683585
birthday,Kolkata,176,372854,108234.48741822517,95019.72831059922,62738.80617502699,35443.60139768875,71417.37669845985,,
birthday,Kolkata,177,197265,50923.47955971142,61760.4033768311,30143.11203121759,18326.649944100845,36111.35508813904,,
party,Bangalore,88,218035,53857.063085420996,69788.75097260946,22928.57755199493,10366.424274423958,61094.18411555063,,
birthday,Pune,67,446210,95988.35723388611,156528.4278192993,65703.1161055275,26332.286853025347,101657.81198826173,,
wedding,Bangalore,167,4141644,1295994.8179842683,958716.4882027,460307.79273051576,731543.3304062026,462284.9050007758,,232796.66567553673
party,Ahmedabad,174,120821,28859.8861752922,37464.390056426324,21835.848119729246,5776.505106864217,26884.370541688,,
wedding,Hyderabad,743,4361774,1278981.7374387,1187035.197014642,692775.465418369,439803.83895718545,485236.54679321556,,277941.21437788807
corporate,Mumbai,217,996883,365598.2716758793,332017.55329345894,,,105059.00316536854,52979.22287621871,141228.9489890746
wedding,Bangalore,168,1308301,351935.88368458074,397550.2022573165,194567.31957902212,185020.28894572426,97687.68949221954,,81539.61604113692
corporate,Pune,187,1569391,590121.1765904468,437967.2380411626,,,226860.91629549942,195458.6639889706,118983.0050839205
birthday,Mumbai,84,313013,68942.163641471,106706.03024489473,54176.41861426292,28377.017968241253,54811.36953113009,,
conference,Pune,956,4325258,1510982.1398898854,1129290.5646032363,,,754881.6451359551,733033.0817077534,197070.56866317004
birthday,Chennai,77,413265,93166.45281643704,132824.93878634748,59774.87476733362,47624.56179949825,79874.17183038368,,
conference,Kolkata,162,2752641,1151974.4263945252,742365.059065303,,,310416.42852706386,395205.8021540784,152679.28385902935
conference,Delhi,187,4199509,1794254.8641514657,853290.6311210773,,,715106.6743667016,571322.7783118674,265534.0520488876
wedding,Pune,744,2872948,819413.6061278448,733647.8834764853,428980.74522420234,435515.8367304198,330727.2134511464,,124662.71498990155
anniversary,Chennai,97,752416,247315.328905448,176450.97962827084,148291.23742227195,90625.22498780339,89733.2290562059,,
corporate,Hyderabad,202,2628759,934192.8957352433,662812.5990721941,,,441537.72584763914,276300.00579940877,313915.7735455147
wedding,Mumbai,906,561753,155630.38161720967,132091.72167908153,61393.459500075485,108446.19172439184,75706.12276117044,,28485.122718071045
wedding,Pune,175,576240,184489.07953362176,150960.7699447839,88463.57281023754,79052.47793424092,36272.32988034334,,37001.7698967725
conference,Ahmedabad,471,3034957,1296113.0509441413,735893.1868449855,,,404960.6339981004,348213.1391705432,249776.98904223004
party,Hyderabad,123,225121,55162.39338753605,65937.58374774022,29752.27458211015,22736.452875106643,51532.29540750695,,
party,Mumbai,144,149977,34738.2824336151,47194.25038862347,19466.411841509373,7815.624390011488,40762.43094624056,,
party,Kolkata,147,99298,21289.082739511126,33185.63460136196,14932.961819563056,4795.802101652062,25094.518737911796,,
party,Bangalore,103,99170,24548.46478535108,33115.76801145315,13512.10415390036,5564.2770958841165,22429.385953411296,,
wedding,Mumbai,338,3322236,964329.9003375873,960732.4591113067,493045.39473698055,411927.55909441906,237024.16372076355,,255176.52299894282
conference,Chennai,920,1660294,650300.5683628902,397090.5938091811,,,282430.03766710777,254440.74181336243,76032.05834745869
conference,Chennai,124,3524015,1353049.516666758,862508.674327171,,,560441.7409198766,468481.2129682712,279533.85511792277
wedding,Delhi,729,2360971,728750.7978878896,542716.3764935334,410691.1418891143,262014.03463083965,306098.6776817179,,110699.97141690529
conference,Pune,757,3950087,1730162.4766366002,866097.5853456042,,,419384.93323730025,737911.8710871012,196530.13369339402
wedding,Ahmedabad,831,1666670,462278.7244779482,452582.9305024381,229708.86838736275,220163.07004566377,226043.15508462026,,75893.25150196713
conference,Delhi,422,4149244,1712811.4925764701,1082225.2970301032,,,631940.9714619803,492056.52979594,230209.70913550607
birthday,Hyderabad,94,400067,108976.40255947289,131620.37752590573,49947.50631682773,47651.134745825744,61871.57885196791,,
wedding,Bangalore,818,1199895,317731.8935384056,321765.77677013876,192987.57104749183,177783.08891838943,127293.48585616595,,62333.18386940855
corporate,Hyderabad,260,1312548,469662.8836046489,420598.53811493015,,,151761.81886598276,180369.69248189262,90155.06693254561
conference,Mumbai,499,608944,236230.0764004496,144063.67885380122,,,91754.40793205789,104789.543359429,32106.29345426235
party,Pune,105,237305,60751.58597324315,78984.41716023728,29523.51417495805,12278.39946544297,55767.08322611856,,
conference,Delhi,705,1297057,516000.62084165367,321785.1599014809,,,206199.16077035488,184014.1543367274,69057.90414978321
corporate,Hyderabad,395,2346674,776924.294956047,778662.7620950862,,,322201.7483301662,232631.16726685522,236254.02735184546
birthday,Pune,80,324370,81971.8136635852,97664.33979719368,59759.986117789354,25344.858348893515,59629.0020725383,,
anniversary,Kolkata,132,752873,217741.6108384271,187497.54348137858,130342.53001905208,131789.9849524646,85501.3307086777,,
corporate,Chennai,210,986635,370676.1606962261,273351.39463758003,,,136027.93294250657,148945.13937493795,57634.372348749246
birthday,Kolkata,79,420180,83058.39537618267,129002.41805189602,77312.27120599707,56545.38434846408,74261.53101746018,,
conference,Kolkata,176,774535,319186.9676938682,209932.62370151226,,,92168.55489946436,116350.17226696612,36896.681438189014
birthday,Hyderabad,62,125403,35438.63381093073,39881.5161583101,12149.45590467343,11667.535648496523,26265.858477589212,,
conference,Chennai,558,1453122,551185.4603011606,397457.6175072821,,,223616.73044503527,187436.30501395362,93425.88673256848
birthday,Pune,178,476149,125041.51520964126,141297.98685419175,46994.85400562149,60482.666615946226,102331.97731459928,,
birthday,Mumbai,22,225458,53082.23528137326,68044.91400441814,31974.369753026134,30148.65435215074,42207.826609031756,,
birthday,Delhi,93,479505,102188.55875599633,147127.29955757607,89284.99652174233,42010.52061293263,98893.62455175268,,
corporate,Kolkata,246,1759067,614465.6979071215,502198.57776215876,,,244066.26642647924,230195.13497395624,168141.3229302841
corporate,Hyderabad,458,2255845,717799.7690064014,706573.2881179602,,,375458.020181724,279343.73455400084,176670.18813991337
birthday,Chennai,152,272123,57060.84427440082,87331.9466591378,29713.78672802393,29294.02364626759,68722.39869216982,,
wedding,Ahmedabad,505,4973447,1480356.906752044,1336381.7159839217,585961.0077219933,920406.3433143559,260059.20910652043,,390281.8171211651
birthday,Delhi,31,427038,94076.15393101904,122083.10681632547,62811.34571045925,55702.687123527314,92364.70641866897,,
conference,Chennai,904,2713697,1142305.5919990174,696533.4782450951,,,284287.445154651,458779.9412461461,131790.54335509022
birthday,Pune,27,64995,14026.696181211168,18535.453768781612,10970.8441473317,5065.466925556259,16396.538977119268,,
party,Pune,36,203322,46935.314232455494,65221.26354488738,25806.43899467772,15011.217907496715,50347.76532048269,,
wedding,Delhi,904,3631603,1091290.289233655,842432.44520195,470585.3662126178,633883.2419909792,432803.3607651652,,160608.29659563245
anniversary,Hyderabad,82,624006,194184.09230104432,157397.84539540118,131448.10973887754,108283.4140179558,32692.538546721156,,
birthday,Mumbai,127,395158,92968.32182940203,127565.09672723614,83288.87974434771,24648.178574285266,66687.5231247288,,
conference,Hyderabad,904,2306210,914307.5418749041,637065.1195648476,,,309057.333587355,274416.92304080795,171363.08193208577
party,Ahmedabad,122,75479,18420.203320218912,21697.241402649986,11182.619629212117,5561.0647380240225,18617.870909894962,,
anniversary,Chennai,115,931257,301117.83905972214,246052.5140181308,139691.87225473113,176044.04476155373,68350.7299058621,,
party,Mumbai,148,177006,46791.79696325441,53889.08557372934,25559.580090787123,13493.903748013909,37271.633624215196,,
party,Ahmedabad,141,204978,42543.70030556857,66046.99603376571,38825.77167189126,9783.564313308532,47777.96767546596,,
corporate,Chennai,275,2942455,950877.5447876172,886698.47213368,,,432842.09533441346,351117.98974539165,320918.8979988977
corporate,Kolkata,368,369934,116701.19765763462,114319.61198836433,,,65890.22258397331,19254.74024199521,53768.227528032556
conference,Mumbai,819,1205356,474352.9763612864,292138.54037713574,,,192550.87771585674,189245.9086729558,57067.69687276525
corporate,Ahmedabad,344,664310,229674.72076236072,216937.97998830955,,,74874.04653063636,96514.52193163922,46308.73078705412
conference,Pune,706,2499117,882913.8633295539,671947.88401746,,,437143.8751721067,393997.80126528325,113113.57621559629
party,Ahmedabad,82,173099,41493.25886090477,49506.71359571777,33245.530352934904,9104.81758476492,39748.679605677644,,
conference,Pune,171,1239574,446693.50707510323,321434.82279082993,,,144560.1718808365,223728.71711431135,103156.78113891912
anniversary,Bangalore,122,744894,256207.5809322943,169082.36790010257,168899.02880275398,94875.43352672091,55829.588838128235,,
corporate,Hyderabad,432,2972454,964728.1197344479,739279.1252403472,,,553034.0879195152,333277.1955005908,382135.4716050991
conference,Bangalore,372,1730796,623358.8510955734,367560.69113607064,,,320145.7172198967,319515.250282665,100215.49026579435
birthday,Mumbai,32,247742,62159.49047633788,74707.65852043944,29076.434079805204,24864.746499096495,56933.670424320924,,
corporate,Kolkata,335,1192144,447068.81747381244,365457.5728912293,,,156252.81923731478,74971.48862540888,148393.30177223476
conference,Pune,666,2779023,1120389.884304263,601653.8925552968,,,451234.1102333948,396735.18328480877,209009.92962223696
conference,Kolkata,924,2126528,884987.6375858218,638020.7190148452,,,260827.95742496033,230331.6682483287,112360.01772604388
wedding,Ahmedabad,239,3876910,1330077.888998824,870986.9912365128,528405.648031953,663397.4266286843,277802.7292760832,,206239.315827943
corporate,Pune,220,653222,224804.9089711922,166888.77436435447,,,95822.94751347053,82193.09579000424,83512.27336097862
